name,address,city,state,zip,full_address,farm_type,produce,phone,website,distance,hours
3D Blueberry Farm,41031 Highway 1056,Franklington,LA,,"41031 Highway 1056, Franklington, Louisiana 70438","U-Pick Farm, Orchard",Blueberries,,,,
86th Street Orchard,86th Street Orchard,,,,"86th Street Orchard, 5332 NW 86th Street","U-Pick Farm, Orchard","Apples, Blackberries",,,,
Abbott Farms,3275 Cold Springs Road,Baldwinsville,NY,,"3275 Cold Springs Road, Baldwinsville, New York 13027","U-Pick Farm, Orchard","Apples, Blueberries, Cherries, Prunes, Pumpkins, Raspberries, Strawberries",,,,
Adam’s Berry Farm,985 Bingham Brook Rd,Charlotte,VT,,"985 Bingham Brook Rd, Charlotte, Vermont 05445","U-Pick Farm, Orchard","Blueberries, Raspberries, Strawberries",,,,
Adams Farm,1486 Georgia Highway 54 West,Fayetteville,GA,,"1486 Georgia Highway 54 West, Fayetteville, Georgia 30214","U-Pick Farm, Orchard","Blackberries, Blueberries, Raspberries, Strawberries",,,,
Afton Apple Orchard,14421 So. 90th St,Hastings,,,"14421 So. 90th St, Hastings, 1021 55033","U-Pick Farm, Orchard","Apples, Pumpkins, Raspberries, Strawberries",,,,
Agape House Berry Farm,10912 S Czech Hall Rd,Mustang,OK,,"10912 S Czech Hall Rd, Mustang, Oklahoma 73064","U-Pick Farm, Orchard","Blackberries, Strawberries",,,,
Airport U-Pick,6881 East NC Hwy 97,Elm City,NC,,"6881 East NC Hwy 97, Elm City, North Carolina 27822","U-Pick Farm, Orchard",Strawberries,,,,
Alary Farm,6322 Corrales Road,Corrales,NM,,"6322 Corrales Road, Corrales, New Mexico 87048","U-Pick Farm, Orchard",Apples,,,,
Alewive’s Brook Farm,83 Old Ocean House Rd,Cape Elizabeth,ME,,"83 Old Ocean House Rd, Cape Elizabeth, Maine 04107","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
All Seasons Orchard,14510 IL Route 176,Woodstock,,,"14510 IL Route 176, Woodstock, 1011 60098","U-Pick Farm, Orchard","Apples, Pumpkins",,,,
Alldredge Orchards,10455 N Highway,Platte City,MO,,"10455 N Highway, Platte City, Missouri 64079","U-Pick Farm, Orchard",Apples,,,,
Allison Family Farm LLC,124 Diamond Lake Lane,Crescent City,FL,32112,"124 Diamond Lake Lane, Crescent City, FL 32112","U-Pick Farm, Orchard","Figs, Grapes, Muscadines, Peaches, Pears, Persimmons",,,,
Alstede Farms,1 Alstede Farms Lane,Chester,,,"1 Alstede Farms Lane, Chester, 1028 07930","U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Peaches, Raspberries",,,,
Altenburg’s Farm,7020 Plover Road Hwy 54E,Wisconsin Rapids,WI,,"7020 Plover Road Hwy 54E, Wisconsin Rapids, Wisconsin 54494","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Ambers U-Pick Cherry Farm,9300 Leona Ave,Leona Valley,CA,,"9300 Leona Ave, Leona Valley, California 93551","U-Pick Farm, Orchard",Cherries,,,,
Andelin Family Farm,,,,,,"U-Pick Farm, Orchard",Pumpkins,,,,
Anderson Orchard,369 E. Greencastle Road,Mooresville,IN,,"369 E. Greencastle Road, Mooresville, Indiana 46158","U-Pick Farm, Orchard","Apples, Blueberries, Chestnuts, Plums, Pumpkins, Raspberries",,,,
